force force0 force1 force2 force3 force4 force5 dforce dforce0 dforce1 dforce2 dforce3 dforce4 dforce5 TcpPose TcpPose0 TcpPose1 TcpPose2 TcpPose3 TcpPose4 TcpPose5 dTcpPose dTcpPose0 dTcpPose1 dTcpPose2 dTcpPose3 dTcpPose4 dTcpPose5 q q0 q1 q2 q3 q4 q5 dq dq0 dq1 dq2 dq3 dq4 dq5 iActual iActual0 iActual1 iActual2 iActual3 iActual4 iActual5 iControl iControl0 iControl1 iControl2 iControl3 iControl4 iControl5 sampleN time timeRelative timePc timePcRelative safetyMode errorState meanForce meanForce0 meanForce1 meanForce2 meanForce3 meanForce4 meanForce5 medianForce medianForce0 medianForce1 medianForce2 medianForce3 medianForce4 medianForce5 maxForce maxForce0 maxForce1 maxForce2 maxForce3 maxForce4 maxForce5 minForce minForce0 minForce1 minForce2 minForce3 minForce4 minForce5 stdDForce stdDForce0 stdDForce1 stdDForce2 stdDForce3 stdDForce4 stdDForce5 varForce varForce0 varForce1 varForce2 varForce3 varForce4 varForce5 meanCurrent meanCurrent0 meanCurrent1 meanCurrent2 meanCurrent3 meanCurrent4 meanCurrent5 medianCurrent medianCurrent0 medianCurrent1 medianCurrent2 medianCurrent3 medianCurrent4 medianCurrent5 maxCurrent maxCurrent0 maxCurrent1 maxCurrent2 maxCurrent3 maxCurrent4 maxCurrent5 minCurrent minCurrent0 minCurrent1 minCurrent2 minCurrent3 minCurrent4 minCurrent5 stdDCurrent stdDCurrent0 stdDCurrent1 stdDCurrent2 stdDCurrent3 stdDCurrent4 stdDCurrent5 varCurrent varCurrent0 varCurrent1 varCurrent2 varCurrent3 varCurrent4 varCurrent5 corrIndexSet0 corrIndexPercentageSet0 corrIndexQEndDistSet0 datasetForce0Sample datasetForce0Sample0 datasetForce0Sample1 datasetForce0Sample2 datasetForce0Sample3 datasetForce0Sample4 datasetForce0Sample5 datasetCurrent0Sample datasetCurrent0Sample0 datasetCurrent0Sample1 datasetCurrent0Sample2 datasetCurrent0Sample3 datasetCurrent0Sample4 datasetCurrent0Sample5 
27.6471 -21.6228 4.65304 -16.5881 0.453444 -4.18711 -2.0876 27.6471 -21.6228 4.65304 -16.5881 0.453444 -4.18711 -2.0876 0.70118 0.562335 -0.275877 0.315159 -2.20792 -2.22027 0.00469993 0.70118 0.562335 -0.275877 0.315159 -2.20792 -2.22027 0.00469993 3.15808 2.50886 -1.23271 1.46953 -1.79657 -1.57864 2.5035 3.15808 2.50886 -1.23271 1.46953 -1.79657 -1.57864 2.5035 3.48996 0.428186 -2.77088 -2.07816 -0.18453 -0.207406 0.394986 3.46533 0.430428 -2.74622 -2.06919 -0.18758 -0.210456 0.410236 1 4209.13 0 1.46972e+09 0 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
31.1111 -26.4156 -3.68073 -16.0179 1.1421 -4.51825 3.86289 9.63057 -4.79281 -8.33377 0.570255 0.688661 -0.331138 5.95049 0.701164 0.562337 -0.275855 0.315137 -2.20789 -2.22014 0.00478398 3.14167e-05 2.25579e-06 2.22902e-05 -2.20242e-05 2.74468e-05 0.000131997 8.40493e-05 3.15811 2.5089 -1.2327 1.46954 -1.79648 -1.57868 2.50358 3.9753e-05 3.60012e-05 1.19209e-05 1.19209e-05 9.58443e-05 -3.57628e-05 8.39233e-05 3.42764 0.441637 -2.71035 -2.05126 -0.19368 -0.216556 -0.0549015 3.41769 0.437153 -2.71035 -2.03556 -0.18758 -0.210456 0.0442262 2 4209.14 0.008 1.46972e+09 0.00197315 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
27.2601 -22.8743 2.16034 -14.67 0.834127 -4.05618 -0.570899 6.96243 3.54125 5.84107 1.3479 -0.307978 0.46207 -4.43379 0.701163 0.562332 -0.275868 0.315135 -2.20801 -2.22005 0.00476053 1.45411e-05 -5.41623e-06 -1.32533e-05 -2.54092e-06 -0.000121593 9.07016e-05 -2.34462e-05 3.1581 2.50888 -1.2327 1.46956 -1.79651 -1.57867 2.50365 2.70844e-05 -2.40803e-05 0 1.23978e-05 -3.57628e-05 1.19209e-05 7.15256e-05 3.45641 0.437153 -2.7507 -2.04677 -0.17538 -0.219606 -0.0488013 3.45876 0.441637 -2.75294 -2.04677 -0.18758 -0.210456 -0.157079 3 4209.14 0.016 1.46972e+09 0.00958061 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
26.6435 -21.7662 1.61246 -15.281 0.764095 -4.17297 -0.510649 1.37896 1.10813 -0.547881 -0.611061 -0.070032 -0.116784 0.0602497 0.701164 0.562339 -0.275884 0.315109 -2.20783 -2.22021 0.00478033 3.15068e-05 7.33878e-06 -1.57318e-05 -2.62932e-05 0.000179676 -0.000164155 1.97985e-05 3.15807 2.50886 -1.23265 1.46956 -1.79655 -1.57868 2.50348 4.9614e-05 -1.19209e-05 4.81606e-05 0 -3.62396e-05 -1.19209e-05 -0.00016737 3.44131 0.430428 -2.72604 -2.05574 -0.18758 -0.205881 0.419386 3.43769 0.419219 -2.72828 -2.04901 -0.18758 -0.210456 0.439212 4 4209.15 0.024 1.46972e+09 0.0175962 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
29.0779 25.0953 -5.53051 -13.6074 0.141107 2.55124 1.67804 47.4323 46.8615 -7.14297 1.67363 -0.622988 6.72421 2.18869 0.701162 0.562374 -0.27585 0.315072 -2.20816 -2.21977 0.00516466 6.06098e-05 3.50221e-05 3.35426e-05 -3.63579e-05 -0.000323922 0.000440023 0.000384335 3.1581 2.50897 -1.23256 1.46951 -1.79646 -1.57891 2.50394 0.000144555 0.000107765 8.34465e-05 -4.81606e-05 8.39233e-05 -0.000227451 0.000454664 3.51611 1.12763 -2.10282 -2.58257 -0.0228756 -0.416336 0.0930275 3.49256 1.1904 -2.03332 -2.57808 0.0122003 -0.298908 0.0869273 5 4209.16 0.032 1.46972e+09 0.025805 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
123.754 -94.2902 42.4487 -67.9895 -7.30267 -17.4012 -0.876884 139.686 -119.385 47.9792 -54.3821 -7.44378 -19.9525 -2.55492 0.701142 0.562445 -0.275784 0.314959 -2.20824 -2.21957 0.00590915 0.000149053 7.08174e-05 6.65633e-05 -0.000113009 -8.24977e-05 0.000203876 0.000744484 3.15821 2.50919 -1.23238 1.46952 -1.7965 -1.57936 2.50429 0.000281096 0.000215769 0.000179768 1.19209e-05 -3.57628e-05 -0.000454426 0.000347614 2.97846 0.840679 -2.80451 -0.547002 -0.510889 -0.228756 0.201305 3.00278 0.856372 -2.83589 -0.490957 -0.36296 -0.236381 0.147929 6 4209.17 0.04 1.46972e+09 0.0328889 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
13.1944 9.33901 -6.29375 -6.87485 1.59975 0.917978 0.237737 129.807 103.629 -48.7424 61.1146 8.90242 18.3192 1.11462 0.70104 0.562483 -0.275647 0.314784 -2.20864 -2.21968 0.00624827 0.000225244 3.83045e-05 0.000136713 -0.000174863 -0.000404918 -0.000106856 0.000339125 3.15866 2.50944 -1.23238 1.47006 -1.79736 -1.57962 2.50467 0.000594414 0.000252008 0 0.000538349 -0.000863075 -0.000263691 0.000382662 2.80007 1.13436 -2.4077 -0.869823 -0.312633 -0.138779 0.219606 2.79703 1.15453 -2.40098 -0.851888 -0.236381 -0.140304 0.19368 7 4209.18 0.048 1.46972e+09 0.0415392 1 0 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0.0135135 0.464805 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 
20.7415 -17.2244 -2.47242 -11.288 -0.739354 -2.58383 0.489515 27.1973 -26.5634 3.82133 -4.41317 -2.3391 -3.5018 0.251778 0.700844 0.562519 -0.275397 0.314501 -2.20845 -2.21927 0.00633776 0.000379316 3.59702e-05 0.000249682 -0.000283276 0.000194133 0.00040842 8.94854e-05 3.1592 2.5098 -1.23235 1.47065 -1.79755 -1.57961 2.50512 0.000689522 0.000360012 3.57628e-05 0.000586987 -0.000191689 1.19209e-05 0.000455141 2.67175 1.00881 -2.23733 -1.05589 -0.414811 -0.154029 0.131154 2.6789 1.01778 -2.24181 -1.05589 -0.388885 -0.163179 0.123528 8 4209.18 0.056 1.46972e+09 0.0496604 1 0 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0.0162162 0.464006 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 
25.0274 -23.4969 3.52617 -7.86356 0.150047 -2.34296 -0.38556 9.33028 -6.2725 5.99859 3.42446 0.889401 0.240868 -0.875074 0.700609 0.562604 -0.275093 0.314091 -2.20821 -2.21913 0.00639268 0.000517737 8.51384e-05 0.00030442 -0.000410039 0.000240347 0.000143802 5.49167e-05 3.15992 2.51028 -1.23222 1.47147 -1.79824 -1.5796 2.50556 0.000964059 0.00047946 0.000132084 0.000825882 -0.000683308 1.19209e-05 0.000431061 3.11352 0.688236 -2.68569 -1.41682 -0.481913 -0.158604 0.0823522 3.09923 0.699445 -2.67448 -1.40113 -0.463613 -0.164704 0.073202 9 4209.19 0.064 1.46972e+09 0.0566692 1 0 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0.0189189 0.462842 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 
24.6882 -17.707 7.83023 -15.3186 0.0533597 -2.00078 -0.8591 10.3742 5.78988 4.30406 -7.45501 -0.0966875 0.342178 -0.473541 0.700409 0.562664 -0.274822 0.313776 -2.20814 -2.21905 0.00634877 0.000420378 6.01775e-05 0.000271272 -0.000315448 6.51048e-05 7.52127e-05 -4.39066e-05 3.16058 2.51069 -1.23218 1.47223 -1.79893 -1.57955 2.50596 0.000858111 0.000407457 3.57628e-05 0.000754356 -0.000695229 4.81606e-05 0.000406981 3.13077 0.540276 -2.70811 -1.47511 -0.489538 -0.140304 0.115903 3.13199 0.538035 -2.71483 -1.46614 -0.466663 -0.147929 0.109803 10 4209.2 0.072 1.46972e+09 0.0644534 1 0 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0.0216216 0.461692 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 
