force force0 force1 force2 force3 force4 force5 dforce dforce0 dforce1 dforce2 dforce3 dforce4 dforce5 TcpPose TcpPose0 TcpPose1 TcpPose2 TcpPose3 TcpPose4 TcpPose5 dTcpPose dTcpPose0 dTcpPose1 dTcpPose2 dTcpPose3 dTcpPose4 dTcpPose5 q q0 q1 q2 q3 q4 q5 dq dq0 dq1 dq2 dq3 dq4 dq5 iActual iActual0 iActual1 iActual2 iActual3 iActual4 iActual5 iControl iControl0 iControl1 iControl2 iControl3 iControl4 iControl5 sampleN time timeRelative timePc timePcRelative safetyMode errorState meanForce meanForce0 meanForce1 meanForce2 meanForce3 meanForce4 meanForce5 medianForce medianForce0 medianForce1 medianForce2 medianForce3 medianForce4 medianForce5 maxForce maxForce0 maxForce1 maxForce2 maxForce3 maxForce4 maxForce5 minForce minForce0 minForce1 minForce2 minForce3 minForce4 minForce5 stdDForce stdDForce0 stdDForce1 stdDForce2 stdDForce3 stdDForce4 stdDForce5 varForce varForce0 varForce1 varForce2 varForce3 varForce4 varForce5 meanCurrent meanCurrent0 meanCurrent1 meanCurrent2 meanCurrent3 meanCurrent4 meanCurrent5 medianCurrent medianCurrent0 medianCurrent1 medianCurrent2 medianCurrent3 medianCurrent4 medianCurrent5 maxCurrent maxCurrent0 maxCurrent1 maxCurrent2 maxCurrent3 maxCurrent4 maxCurrent5 minCurrent minCurrent0 minCurrent1 minCurrent2 minCurrent3 minCurrent4 minCurrent5 stdDCurrent stdDCurrent0 stdDCurrent1 stdDCurrent2 stdDCurrent3 stdDCurrent4 stdDCurrent5 varCurrent varCurrent0 varCurrent1 varCurrent2 varCurrent3 varCurrent4 varCurrent5 corrIndexSet0 corrIndexPercentageSet0 corrIndexQEndDistSet0 datasetForce0Sample datasetForce0Sample0 datasetForce0Sample1 datasetForce0Sample2 datasetForce0Sample3 datasetForce0Sample4 datasetForce0Sample5 datasetCurrent0Sample datasetCurrent0Sample0 datasetCurrent0Sample1 datasetCurrent0Sample2 datasetCurrent0Sample3 datasetCurrent0Sample4 datasetCurrent0Sample5 
26.7918 -21.1852 -1.96359 -16.2829 1.07292 -3.96494 1.36881 26.7918 -21.1852 -1.96359 -16.2829 1.07292 -3.96494 1.36881 0.701185 0.562353 -0.275884 0.315133 -2.20793 -2.22026 0.00473729 0.701185 0.562353 -0.275884 0.315133 -2.20793 -2.22026 0.00473729 3.15806 2.50888 -1.23265 1.46952 -1.79662 -1.57867 2.50352 3.15806 2.50888 -1.23265 1.46952 -1.79662 -1.57867 2.50352 3.59721 0.367657 -2.90987 -2.08264 -0.19978 -0.204356 0.150979 3.58016 0.387833 -2.89418 -2.07143 -0.19978 -0.219606 0.135729 1 4222.01 0 1.46972e+09 0 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
25.8497 -19.6722 -1.33428 -16.7162 0.961297 -3.84752 1.46047 1.69498 1.513 0.629311 -0.433286 -0.11162 0.11742 0.0916584 0.701162 0.562344 -0.275888 0.315092 -2.20785 -2.2202 0.00478037 4.18508e-05 -8.65465e-06 -3.9676e-06 -4.07535e-05 8.75361e-05 6.02174e-05 4.30734e-05 3.15807 2.50886 -1.23262 1.46957 -1.79658 -1.57868 2.5035 5.46286e-05 -1.19209e-05 2.38419e-05 4.76837e-05 3.57628e-05 -1.19209e-05 -2.40803e-05 3.56293 0.385591 -2.86503 -2.08264 -0.207406 -0.210456 0.134204 3.55999 0.399042 -2.86279 -2.07816 -0.198255 -0.219606 0.137254 2 4222.02 0.008 1.46972e+09 0.00480103 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
26.4513 -20.8796 -0.856282 -16.2166 1.04039 -3.88319 1.29428 1.39131 -1.20736 0.477993 0.499541 0.0790918 -0.0356688 -0.166182 0.701176 0.562355 -0.275869 0.315121 -2.20789 -2.22027 0.00477995 3.63217e-05 1.07665e-05 1.8383e-05 2.94179e-05 -4.65165e-05 -7.27525e-05 -4.11016e-07 3.15809 2.5089 -1.23265 1.46954 -1.79662 -1.57869 2.50352 4.9325e-05 3.60012e-05 -2.38419e-05 -2.38419e-05 -3.57628e-05 -1.19209e-05 2.40803e-05 3.55591 0.381108 -2.86503 -2.07143 -0.183005 -0.239431 0.146404 3.56416 0.3968 -2.86503 -2.08264 -0.198255 -0.219606 0.138779 3 4222.02 0.016 1.46972e+09 0.0130734 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
26.5167 -20.7096 -1.04641 -16.5273 1.12605 -4.25402 1.4118 0.401989 0.17004 -0.190127 -0.310698 0.0856645 -0.370824 0.117512 0.701159 0.562349 -0.275868 0.315095 -2.20787 -2.2202 0.00485287 2.73351e-05 -6.24436e-06 8.80034e-07 -2.65978e-05 1.98158e-05 7.24968e-05 7.29144e-05 3.15811 2.5089 -1.23264 1.46958 -1.7966 -1.57873 2.50354 3.76973e-05 0 1.19209e-05 3.57628e-05 2.38419e-05 -3.62396e-05 2.40803e-05 3.55614 0.3968 -2.85831 -2.07816 -0.189105 -0.20283 0.143354 3.55909 0.392317 -2.85607 -2.08713 -0.19673 -0.218081 0.138779 4 4222.03 0.024 1.46972e+09 0.0203028 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
14.5937 5.58461 9.7284 -9.33515 -0.56284 1.76431 -1.02001 29.3122 26.2942 10.7748 7.1922 -1.68889 6.01833 -2.43181 0.701164 0.562366 -0.275835 0.315104 -2.20808 -2.21994 0.00515014 3.88067e-05 1.69748e-05 3.34858e-05 9.8243e-06 -0.000205702 0.000266975 0.00029727 3.15814 2.50898 -1.23262 1.46952 -1.79648 -1.57891 2.50384 0.000103624 8.39233e-05 1.19209e-05 -5.96046e-05 0.000119686 -0.000179291 0.000299215 3.64024 1.05141 -2.51755 -2.40995 0.0640517 -0.413286 0.260782 3.64758 1.10745 -2.5041 -2.40995 -0.0106753 -0.288233 0.160129 5 4222.04 0.032 1.46972e+09 0.0281761 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
114.209 -84.4582 36.3422 -67.7473 -7.33731 -17.3002 0.783211 110.58 -90.0428 26.6138 -58.4121 -6.77447 -19.0645 1.80322 0.701135 0.562386 -0.27575 0.31508 -2.20834 -2.21972 0.00586695 9.09215e-05 2.0008e-05 8.53136e-05 -2.42485e-05 -0.000259175 0.000211897 0.000716814 3.15833 2.50918 -1.23264 1.46959 -1.7965 -1.57936 2.50425 0.000204945 0.000191689 -1.19209e-05 7.15256e-05 -2.38419e-05 -0.000454426 0.000406981 3.03752 0.907933 -2.80675 -0.724105 -0.283658 -0.219606 0.286708 3.03236 0.916901 -2.80451 -0.699445 -0.143354 -0.237906 0.257732 6 4222.05 0.04 1.46972e+09 0.0370295 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
16.6935 -6.26872 -1.74763 -15.3728 -0.682248 -2.81541 1.09709 101.526 78.1895 -38.0899 52.3745 6.65506 14.4848 0.313879 0.701005 0.562421 -0.275542 0.314909 -2.20858 -2.21968 0.00633432 0.000271807 3.53126e-05 0.000207827 -0.000171581 -0.000248003 4.53097e-05 0.000467367 3.15888 2.50952 -1.23268 1.47013 -1.79709 -1.57967 2.50473 0.000643382 0.00034833 -4.76837e-05 0.000538826 -0.000587463 -0.000311375 0.000478745 3.12074 1.094 -2.73725 -1.02451 -0.404136 -0.109803 0.205881 3.11728 1.11642 -2.73501 -0.995364 -0.340084 -0.117428 0.18453 7 4222.06 0.048 1.46972e+09 0.0440667 1 0 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0.0135135 0.464805 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 
21.8986 -16.2863 -1.78281 -14.5302 -0.732911 -1.87627 0.342495 10.053 -10.0176 -0.0351851 0.842549 -0.050663 0.939142 -0.754595 0.7008 0.562426 -0.275316 0.314641 -2.20843 -2.21933 0.00640593 0.000350541 4.74026e-06 0.000226119 -0.000267819 0.000156044 0.000345521 7.16099e-05 3.15942 2.50982 -1.23271 1.47078 -1.79735 -1.57966 2.50511 0.000712983 0.000299454 -2.43187e-05 0.000646591 -0.000263691 1.19209e-05 0.0003829 2.86481 0.999848 -2.47496 -1.0402 -0.478863 -0.143354 0.144879 2.85638 1.00433 -2.47272 -1.01778 -0.452937 -0.147929 0.134204 8 4222.06 0.056 1.46972e+09 0.0523338 1 0 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0.0162162 0.464006 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 
19.6128 -18.0628 0.806047 -7.59915 0.64476 -1.31197 -0.24706 7.60907 -1.77656 2.58886 6.93106 1.37767 0.564296 -0.589555 0.70062 0.562506 -0.275016 0.314359 -2.20839 -2.21931 0.00638905 0.000419432 8.07714e-05 0.000299671 -0.000282128 4.26614e-05 2.56111e-05 -1.68779e-05 3.16011 2.51029 -1.23268 1.47147 -1.79802 -1.57964 2.50557 0.000837378 0.000467539 2.43187e-05 0.000694275 -0.000671387 2.38419e-05 0.000455141 2.84763 0.692719 -2.47496 -1.22627 -0.420911 -0.154029 0.0960776 2.8539 0.70617 -2.48168 -1.21954 -0.407186 -0.154029 0.108278 9 4222.07 0.064 1.46972e+09 0.0602975 1 0 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0.0189189 0.462842 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 
22.9515 -18.9281 8.1139 -10.1324 -0.105975 -2.1833 -0.720285 7.7827 -0.865245 7.30785 -2.53321 -0.750734 -0.87133 -0.473225 0.700391 0.562564 -0.274754 0.313973 -2.20828 -2.21911 0.00641092 0.000469348 5.71849e-05 0.000261795 -0.000385332 0.000106321 0.000196045 2.18631e-05 3.16077 2.51069 -1.23259 1.4723 -1.79873 -1.57961 2.506 0.000921093 0.000395536 9.53674e-05 0.000826359 -0.00070715 2.38419e-05 0.000431061 2.8892 0.54476 -2.52652 -1.29128 -0.466663 -0.108278 0.105228 2.87586 0.547002 -2.51307 -1.2868 -0.449887 -0.131154 0.103703 10 4222.08 0.072 1.46972e+09 0.0704765 1 0 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0.0216216 0.461692 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 
