force force0 force1 force2 force3 force4 force5 dforce dforce0 dforce1 dforce2 dforce3 dforce4 dforce5 TcpPose TcpPose0 TcpPose1 TcpPose2 TcpPose3 TcpPose4 TcpPose5 dTcpPose dTcpPose0 dTcpPose1 dTcpPose2 dTcpPose3 dTcpPose4 dTcpPose5 q q0 q1 q2 q3 q4 q5 dq dq0 dq1 dq2 dq3 dq4 dq5 iActual iActual0 iActual1 iActual2 iActual3 iActual4 iActual5 iControl iControl0 iControl1 iControl2 iControl3 iControl4 iControl5 sampleN time timeRelative timePc timePcRelative safetyMode errorState meanForce meanForce0 meanForce1 meanForce2 meanForce3 meanForce4 meanForce5 medianForce medianForce0 medianForce1 medianForce2 medianForce3 medianForce4 medianForce5 maxForce maxForce0 maxForce1 maxForce2 maxForce3 maxForce4 maxForce5 minForce minForce0 minForce1 minForce2 minForce3 minForce4 minForce5 stdDForce stdDForce0 stdDForce1 stdDForce2 stdDForce3 stdDForce4 stdDForce5 varForce varForce0 varForce1 varForce2 varForce3 varForce4 varForce5 meanCurrent meanCurrent0 meanCurrent1 meanCurrent2 meanCurrent3 meanCurrent4 meanCurrent5 medianCurrent medianCurrent0 medianCurrent1 medianCurrent2 medianCurrent3 medianCurrent4 medianCurrent5 maxCurrent maxCurrent0 maxCurrent1 maxCurrent2 maxCurrent3 maxCurrent4 maxCurrent5 minCurrent minCurrent0 minCurrent1 minCurrent2 minCurrent3 minCurrent4 minCurrent5 stdDCurrent stdDCurrent0 stdDCurrent1 stdDCurrent2 stdDCurrent3 stdDCurrent4 stdDCurrent5 varCurrent varCurrent0 varCurrent1 varCurrent2 varCurrent3 varCurrent4 varCurrent5 corrIndexSet0 corrIndexPercentageSet0 corrIndexQEndDistSet0 datasetForce0Sample datasetForce0Sample0 datasetForce0Sample1 datasetForce0Sample2 datasetForce0Sample3 datasetForce0Sample4 datasetForce0Sample5 datasetCurrent0Sample datasetCurrent0Sample0 datasetCurrent0Sample1 datasetCurrent0Sample2 datasetCurrent0Sample3 datasetCurrent0Sample4 datasetCurrent0Sample5 
28.0775 -22.6625 3.3893 -16.2255 0.599369 -3.9217 -0.342161 28.0775 -22.6625 3.3893 -16.2255 0.599369 -3.9217 -0.342161 0.701159 0.562334 -0.275882 0.315107 -2.20779 -2.22028 0.00479556 0.701159 0.562334 -0.275882 0.315107 -2.20779 -2.22028 0.00479556 3.15809 2.50886 -1.23266 1.46958 -1.79657 -1.57869 2.50344 3.15809 2.50886 -1.23266 1.46958 -1.79657 -1.57869 2.50344 3.50162 0.374382 -2.7507 -2.1342 -0.19368 -0.19673 0.420911 3.49592 0.372141 -2.7507 -2.12524 -0.19673 -0.192155 0.466663 1 4240.09 0 1.46972e+09 0 1 0 28.6012 -22.5714 3.92155 -17.1224 0.409415 -4.29239 -1.50109 28.6012 -22.5714 3.92155 -17.1224 0.409415 -4.29239 -1.50109 28.6012 -22.5714 3.92155 -17.1224 0.409415 -4.29239 -1.50109 28.6012 -22.5714 3.92155 -17.1224 0.409415 -4.29239 -1.50109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.51685 0.425944 -2.78657 -2.10282 -0.18148 -0.183005 0.437687 3.51685 0.425944 -2.78657 -2.10282 -0.18148 -0.183005 0.437687 3.51685 0.425944 -2.78657 -2.10282 -0.18148 -0.183005 0.437687 3.51685 0.425944 -2.78657 -2.10282 -0.18148 -0.183005 0.437687 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0027027 0.466073 28.6012 -22.5714 3.92155 -17.1224 0.409415 -4.29239 -1.50109 3.51685 0.425944 -2.78657 -2.10282 -0.18148 -0.183005 0.437687 
33.2812 -28.5461 -1.86524 -17.0082 0.90504 -4.64009 4.12075 7.92715 -5.88361 -5.25454 -0.782651 0.305671 -0.718389 4.46292 0.701181 0.562325 -0.275882 0.315173 -2.20803 -2.22018 0.00473464 6.66252e-05 -9.31878e-06 1.61611e-07 6.597e-05 -0.000245825 9.88034e-05 -6.09149e-05 3.15808 2.50885 -1.23273 1.46953 -1.79656 -1.57867 2.50358 8.71791e-05 -1.19209e-05 -7.20024e-05 -4.76837e-05 1.19209e-05 2.38419e-05 0.000143766 3.50806 0.360931 -2.76415 -2.12972 -0.198255 -0.198255 -0.208931 3.49865 0.372141 -2.7507 -2.12972 -0.19978 -0.192155 -0.215031 2 4240.1 0.008 1.46972e+09 0.00634146 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
28.2454 -21.843 6.18752 -16.8047 0.254839 -3.97594 -2.08467 10.4795 6.70313 8.05276 0.203439 -0.650202 0.66415 -6.20543 0.70118 0.562359 -0.27587 0.315122 -2.20789 -2.22024 0.00474862 6.25635e-05 3.39797e-05 1.17411e-05 -5.12027e-05 0.000148231 -6.36018e-05 1.39809e-05 3.15808 2.5089 -1.23264 1.46952 -1.79658 -1.57867 2.50353 0.000107818 4.79221e-05 9.58443e-05 -1.19209e-05 -2.38419e-05 0 -4.79221e-05 3.52849 0.367657 -2.77536 -2.14765 -0.18758 -0.195205 0.208931 3.51573 0.374382 -2.76864 -2.1342 -0.195205 -0.19063 0.117428 3 4240.1 0.016 1.46972e+09 0.0134466 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
31.6971 -26.3331 0.915852 -17.6192 0.582269 -4.52037 2.03242 6.97243 -4.4901 -5.27167 -0.814446 0.32743 -0.544439 4.11709 0.70116 0.562349 -0.275874 0.315091 -2.2078 -2.22023 0.00480168 3.29528e-05 -9.81327e-06 -4.36231e-06 -3.11538e-05 8.77191e-05 7.72207e-06 5.30544e-05 3.15809 2.50889 -1.23262 1.46957 -1.79657 -1.57869 2.50348 5.05762e-05 -1.19209e-05 1.19209e-05 4.76837e-05 1.19209e-05 -2.38419e-05 -4.79221e-05 3.51264 0.367657 -2.75519 -2.14765 -0.19063 -0.192155 0.132679 3.50436 0.374382 -2.7507 -2.13869 -0.195205 -0.19063 0.228756 4 4240.11 0.024 1.46972e+09 0.0223324 1 0 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0.00540541 0.466003 32.3019 -27.3073 -3.94483 -16.7976 0.912604 -4.53888 4.28653 3.52033 0.44612 -2.7776 -2.11627 -0.17233 -0.20283 -0.205881 
25.7569 25.5916 0.951699 2.75338 0.512781 3.48946 -1.439 55.7783 51.9247 0.0358469 20.3725 -0.0694878 8.00983 -3.47141 0.70118 0.562355 -0.275866 0.315132 -2.20831 -2.21974 0.00503088 4.27908e-05 6.13951e-06 8.27187e-06 4.15324e-05 -0.000509953 0.000493571 0.000229203 3.15807 2.50892 -1.23264 1.46947 -1.79645 -1.57883 2.50397 0.000102548 3.57628e-05 -1.19209e-05 -9.53674e-05 0.000119686 -0.000143528 0.000490665 3.85054 1.04468 -2.28665 -2.9166 -0.0503264 -0.404136 -0.138779 3.88137 1.09625 -2.25975 -2.95919 -0.0183005 -0.318734 -0.17233 5 4240.12 0.032 1.46972e+09 0.0298717 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
141.736 -105.889 54.0248 -77.1869 -8.75746 -18.6707 -3.10134 162.771 -131.48 53.0731 -79.9403 -9.27024 -22.1601 -1.66234 0.701203 0.562444 -0.275801 0.315081 -2.20857 -2.21959 0.00556781 0.000120913 8.83128e-05 6.46806e-05 -5.13528e-05 -0.000264994 0.0001561 0.000536927 3.15815 2.50914 -1.23248 1.4694 -1.79656 -1.57918 2.50438 0.000275508 0.000215769 0.000155449 -7.20024e-05 -0.000107765 -0.000347137 0.000407457 3.20191 0.887757 -2.98161 -0.757732 -0.584091 -0.149454 0.195205 3.20666 0.889999 -3.00178 -0.692719 -0.437687 -0.158604 0.131154 6 4240.13 0.04 1.46972e+09 0.0373166 1 0 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0.00810811 0.465997 28.4603 -22.2538 4.39374 -17.1887 0.268413 -4.26903 -2.05638 3.49306 0.441637 -2.73501 -2.12748 -0.166229 -0.19673 -0.0716769 
12.0426 -0.363155 -2.58277 -11.7568 0.935492 0.751163 0.239351 136.46 105.526 -56.6075 65.4302 9.69295 19.4218 3.34069 0.701139 0.562491 -0.27563 0.315003 -2.20916 -2.21982 0.00564722 0.000193776 4.74258e-05 0.000170986 -7.78708e-05 -0.000586756 -0.000232611 7.94109e-05 3.15865 2.50943 -1.23259 1.46989 -1.79751 -1.57931 2.50482 0.000579064 0.00028801 -0.000107765 0.000490665 -0.000946999 -0.000131607 0.000442743 3.16121 1.1366 -2.7776 -0.993122 -0.245532 -0.259257 0.207406 3.13433 1.14781 -2.75967 -0.943802 -0.161654 -0.266882 0.17843 7 4240.14 0.048 1.46972e+09 0.0464947 1 0 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0.0135135 0.464805 25.8314 -22.3423 -3.26573 -12.5467 1.38619 -3.51502 3.83185 2.87861 1.01106 -2.49289 -1.02451 -0.253157 -0.17843 0.0991277 
25.264 -16.1928 -2.84589 -19.1824 -0.0953193 -4.62806 0.391702 17.4868 -15.8297 -0.26312 -7.42565 -1.03081 -5.37923 0.152351 0.700962 0.562518 -0.275372 0.314789 -2.20917 -2.21937 0.00567245 0.000336991 2.7183e-05 0.000258538 -0.000214434 -6.86637e-06 0.00044639 2.52365e-05 3.15921 2.50979 -1.23264 1.47044 -1.7977 -1.57928 2.50539 0.000659302 0.000360012 -4.76837e-05 0.00055027 -0.000191212 3.57628e-05 0.000562906 2.97332 0.995364 -2.6274 -0.972946 -0.382785 -0.0442262 0.112853 2.97028 1.01106 -2.62292 -0.959495 -0.35991 -0.0274507 0.118953 8 4240.14 0.056 1.46972e+09 0.0538275 1 0 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0.0162162 0.464006 27.6809 -21.8506 6.45283 -15.7208 -0.423078 -4.90961 -0.860384 2.97474 1.21058 -2.51307 -1.03347 -0.449887 -0.146404 0.141829 
16.3706 -12.9602 -1.21254 -9.92763 -0.280268 -1.45029 -0.532699 9.93824 3.23263 1.63336 9.25478 -0.184948 3.17778 -0.924402 0.700738 0.562573 -0.275077 0.314449 -2.20889 -2.21943 0.0057741 0.000452547 5.41572e-05 0.00029467 -0.000339169 0.000280573 -5.58866e-05 0.00010165 3.15993 2.51023 -1.23261 1.47126 -1.79837 -1.57931 2.50567 0.000928068 0.000443459 2.38419e-05 0.000814915 -0.000671864 -3.57628e-05 0.000287056 2.98644 0.683752 -2.6274 -1.2442 -0.484963 -0.277557 0.112853 2.98582 0.697203 -2.6274 -1.23524 -0.440737 -0.320259 0.112853 9 4240.15 0.064 1.46972e+09 0.0616412 1 0 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0.0189189 0.462842 21.3637 -19.8094 -1.88527 -7.77443 1.63649 -2.30636 -0.384232 2.93544 0.905691 -2.48841 -1.26662 -0.423961 -0.146404 0.269932 
19.4163 -14.8107 5.85771 -11.1052 1.65055 -2.25513 -0.554481 7.40264 -1.85044 7.07024 -1.17754 1.93082 -0.804838 -0.0217814 0.700536 0.562668 -0.27475 0.314115 -2.20869 -2.2194 0.00574545 0.00047816 9.58836e-05 0.000327619 -0.000334827 0.000200006 2.32578e-05 -2.8652e-05 3.16066 2.51075 -1.23254 1.472 -1.79903 -1.57926 2.50611 0.000905876 0.000515461 7.15256e-05 0.000741482 -0.000658989 4.76837e-05 0.000430822 2.95531 0.477506 -2.61171 -1.29801 -0.475813 0.0122003 0.100653 2.93713 0.475264 -2.59153 -1.29801 -0.449887 0.00915025 0.0960776 10 4240.16 0.072 1.46972e+09 0.0697551 1 0 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0.0216216 0.461692 26.9795 -24.3856 3.39457 -11.0322 0.894957 -3.09584 0.932949 2.91695 0.672543 -2.52876 -1.28904 -0.396511 -0.146404 0.164704 
